source,target,tgt_lng
sarita,女皇,zh-CN
snaya,至冬,zh-CN
nosis,神之心,zh-CN
harbingers,执行官们,zh-CN
fatoule,愚人众,zh-CN
sesh naya,至冬,zh-CN
the sarita of sneaya,冰之女皇,zh-CN
the ruler of space,空之执政,zh-CN
the ruler of time,时之执政,zh-CN
the ruler of life,生之执政,zh-CN
the ruler of death,死之执政,zh-CN
celestial,天理,zh-CN
project mistleton,槲寄生计划,zh-CN
project soua,严冬计划,zh-CN
kagi,月炬力,zh-CN
palon,派蒙,zh-CN
the third descender,第三降临者,zh-CN
odette,奥黛塔,zh-CN
an illusion of gentle snow,柔雪的幻象,zh-CN
stream,直播,zh-CN
odet,奥黛塔,zh-CN
lenora,女士,zh-CN
linny,林尼,zh-CN
apprentice,徒弟,zh-CN
certi,苏尔特洛奇,zh-CN
skiir,丝柯克,zh-CN
fatoule harbinger,愚人众执行官,zh-CN
arleino,阿蕾奇诺,zh-CN
lenny,林尼,zh-CN
ark conquest,魔神任务,zh-CN
roslin,罗莎琳,zh-CN
fatoule,愚人众,zh-CN
snesh naya,至冬,zh-CN
hymns of the far north,终北的祷歌,zh-CN
renee,雷内,zh-CN
night king,夜神,zh-CN
child,公子,zh-CN
 rosalyne,罗莎琳,zh-CN
la signora,女士,zh-CN
stellar linchpin,星之楔,zh-CN
rank ten,第十席,zh-CN
rank nine,第九席,zh-CN
rank eight,第八席,zh-CN
rank seven,第七席,zh-CN
rank six,第六席,zh-CN
rank three,第三席,zh-CN
rank two,第二席,zh-CN
rank one,首席,zh-CN
rank five,第五席,zh-CN
rank four,第四席,zh-CN
kuvaki,月炬力,zh-CN
lumafate,命运的织机,zh-CN
project stuha,严冬计划,zh-CN
project snezhnaya,严冬计划,zh-CN
honkai star rail,崩坏星穹铁道,zh-CN
rinaughter,莱茵多特,zh-CN
duran,杜林,zh-CN
oh my god,我的天呐,zh-CN
sera,女皇,zh-CN
rydaughter,莱茵多特,zh-CN
albo,阿贝多,zh-CN
the third descender,第三降临者,zh-CN
he,他,zh-CN
goat,goat,auto
natland,纳塔,zh-CN
director,统括官,zh-CN
conrian,坎瑞亚人,zh-CN
fatoule harbingers,愚人众执行官,zh-CN
saritza,女皇,zh-CN
arnold,阿诺德,zh-CN
conrians,坎瑞亚人,zh-CN
sarita,女皇,zh-CN
genchin,原神,zh-CN
luona tar,努昂诺塔,zh-CN
duren,杜林,zh-CN
varca,法尔伽,zh-CN
song of the welkin moon,空月之歌,zh-CN
the Racher of Solnari,猎月人,zh-CN
Mizuki,梦见月瑞希,zh-CN
Genshin,原神,zh-CN
Escoffier,爱可菲,zh-CN
dottore,多托雷,zh-CN
Columbina,哥伦比娅,zh-CN
DOTTORE,多托雷,zh-CN
Nod Krai,挪德卡莱,zh-CN
MurderofBirds,屠鸟哥,zh-CN
art conquest,魔神任务,zh-CN
lowhen,洛恩,zh-CN
genchin impact,原神,zh-CN
in the game,实机,zh-CN
lightkeeper,执灯人,zh-CN
Palon,派蒙,zh-CN
lumin,荧,zh-CN
lumine,荧,zh-CN
conria,坎瑞亚,zh-CN
harbingers,执行官,zh-CN
fatoui,愚人众,zh-CN
capitano,卡皮塔诺,zh-CN
captain,队长,zh-CN
nodcry,挪德卡莱,zh-CN
aether,空,zh-CN
