source,target
A Day Carved From Rising Winds,风起之日
Aubade of Morningstar and Moon,晨星与月的晓歌
Prune,布伦妮
Levi,莱维
Philomena,菲洛梅娜
Hannelore,汉娜洛蕾
Miss Lady Poodle,「淑女犬小姐」
Zompaynco,祖潘科
Ilmari,伊尔玛里
Hark the Crackjaw,「裂颚」哈尔克
Hiram,海勒姆
Kurierka,库莉艾卡
Derwent,德文特
Atlas,阿特拉号
Intel Exchange,情报交易
The Haunted Pirate Shipwreck,闹鬼的海盗船残骸
Chance Commission,偶现之委托
The Disturbance Caused by Theft,货物失窃引发的骚乱
The Suspicious Hermit,形迹反常的隐士
Minor Commission,小委托
Rapid Capture,速摄快镜
A Robust Theoretical Discussion,激烈的开端理论
Petit Lumiere,小露米埃尔
Melies,梅里爱
Encirclement of Bullets and Silk,枪弹与丝线的合围
Toys for the Children,留给孩子们的「玩具」
Nakano,中野
Obata,小畑
Kageyama,荫山
Ebina Gonshirou,海老名权四郎
Chitose,千世
Hiromi,广海
Kurisu,久利须
Werner,韦尔纳
Keijirou,庆次郎
Yamashiro Kenta,山城健太
Karpillia,卡琵莉亚
Kaede,枫
Ryouko,凉子
Qiuyue,秋月
Vahid,瓦希德
Sasano,笹野
Tingting,婷婷
Yegor,叶戈尔
Xixi,西西
Kaiser,凯撒
Robert,罗伯特
Chiba,千叶
Yurika,百合华
Kobayashi,小林
Shinnojou,新之丞
Yokoyama,横山
Sasaki,佐佐木
Hiiragi Chisato,柊千里
Hiiragi Shinsuke,柊慎介
Shinozuka,篠冢
Saimon Jirou,柴门二郎
Futaba,双叶
Saimon Eri,柴门惠理
Saimon Katsumi,柴门克巳
Konda Densuke,绀田传助
Imatani Saburou,今谷三郎
Takeru,小猛
Tejima,手岛
Inagi Hotomi,稻城萤美
Yamada,山田
Enyashi Yukari,缘谷紫
Kanra,甘乐
Gendou Ringo,玄冬林檎
Momoyo,百代
Kano Nana,鹿野奈奈
Riku,陆
Miyuki,阿幸
Hirotatsu,宏达
Hirano,平野
Madarame Hyakubei,斑目百兵卫
Toda,户田
Furuta,古田
Koharu,小春
Yasuda,安田
Wakamurasaki,若紫
Kujirai Momiji,鲸井椛
Hirohiko,博彦
Sanden,三田
Murakami,村上
Takami,高美
Andou,安藤
Midori,小绿
Kouichi,宏一
Kurosawa Kyounosuke,黑泽京之介
Atsuko,竺子
Michiru,满
Yoh,曜
Nishiguchi,西口
Yamaue,山上
Tokunaga,德长
Naganohara Ryuunosuke,长野原龙之介
Hajime,阿创
Amenoma Tougo,天目十五
Kiminami Anna,木南杏奈
Ryuuji,龙二
Sango,珊瑚
Domon,土门
Nanako,菜菜子
Aratani,荒谷
Kuroda,黑田
Junkichi,顺吉
Shigeru,阿茂
Amano,天野
Shouta,翔太
Sanada,真田
Aoi,葵
Kozue,梢
Heihachi,平八
Ramsay,拉姆齐
Taroumaru,太郎丸
Nobumori,信盛
Nakanishi,中西
Shimura Kanbei,志村勘兵卫
Yayoi Nanatsuki,弥生七月
Tomoki,智树
Furuya Noboru,古谷升
Yukio,幸雄
Tang Wen,汤雯
Yuzu,柚子
Rie,梨绘
Matsumoto,松本
Mikoshi Genichirou,御舆源一郎
Oda Tarou,太田太郎
Ogura Mio,小仓澪
Takeda,武田
Satou,佐藤
Uesugi,上杉
Owada,大和田
Kujou Kamaji,九条镰治
Inoue,井上
Yata Kouki,矢田幸喜
Watanabe,渡边
Ikeda Soushirou,池田总四郎
Mikoshi Genjirou,御舆源次郎
Naoe Hisamasa,直江久政
Matsukawa Souzen,松川宗全
Takatsukasa Tomohide,鹰司朝秀
Mikawa Akane,三河茜
Shima Masaoki,岛政兴
Asakura,朝仓
Takeshi,毅
Saizou,才藏
Nagaoka Hidemitsu,长冈秀满
Sumida,墨田
Susan,苏珊
Takuya,卓也
Yae Publishing House,八重堂
Chuyu Trading Company,楚瑜商行
Eipekkusu,天顶屋
Kuminami Restaurant,木南料亭
Tsukumomono Groceries,九十九物
Yayoi Lacquerware,弥生漆器
Ogura Textiles & Kimono,小仓屋
Maukie,莫基
Estragon,埃斯特拉冈
Lilian,莉莲
Tyutcheva,秋特切娃
Annick,安妮克
Benthem,本瑟姆
Uchida Kotaro,内田幸太郎
Genna,盖纳
Leopoldine,莉奥波汀
Herne,赫恩
Dmitriev,狄米特列夫
Aukai,加奥凯
Eisenhardt,爱瑟海黛
Insigne,因薛尼
Lietzberg,列兹伯格
Patricia,帕特里西亚
Finn,芬恩
Koch,科赫
Ursula,乌苏拉
Herstal,赫斯塔尔
Gunther,君特
Lindemann,林德曼
Matthaus,马萨欧斯
Andreas,安德烈亚斯
Groovy,古洛韦
Roswitha,罗丝薇莎
Yangzhen,杨轸
Frith,菲乐丝
Hafner,哈夫纳
Alodia,艾萝蒂
Linus,莱纳斯
Rosenthal,洛森莎尔
Irmgard,艾玫嘉
Odolf,奥多夫
Winslow,温斯洛
Mann,曼恩
Lipphart,莉普哈特
Haupmann,霍普特曼
Zeitlind,彩特琳德
Raumhilda,劳姆希尔妲
Nihilita,尼西里塔
Dex,小右
Dexer,德克斯特
Melanta,梅兰塔
Istoria,伊斯托利亚
Josephus,乔瑟夫斯
Soga Sumidaryu Sakon Shigehira,曾我隅田流左近重衡
Castiglione,卡斯蒂廖内
Amoxcihuatl,阿穆茜华莉
Daozi,道子
